country_id,year,total_floorspace_m2,res_share,nres_share,residential_floorspace_m2,non_residential_floorspace_m2,v6_estimate_status,composition_status,interpolation_from,composition_source,method_id,qa_flags,period_end,nowcast_horizon_years,nowcast_method
AFG,2020,853208432.45,0.9899967075017845,0.010003292498215488,844673538.9382588,8534893.511741282,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
AFG,2023,904786946.28,0.9900589643607364,0.009941035639263648,895792427.0010899,8994519.278910004,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
AFG,2024,916665812.63,0.9900797166470536,0.009920283352946367,907572228.0287515,9093584.601248443,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
AFG,2025,934777169.53,0.9901004689333709,0.009899531066629087,925523313.8998622,9253855.63013784,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
AFG,2026,953246368.13,0.9901023104035104,0.009897689596489559,943811431.4692682,9434936.660731757,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
AGO,2020,512504617.86,0.9804168636275615,0.019583136372438453,502468170.0369432,10036447.823056836,observed_2.5d,historical_estimated,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2020-12-31,0.0,observed_input_imputation
AGO,2023,515655178.64,0.9803018228883793,0.019698177111620654,505497711.60262483,10157467.037375107,observed_2.5d,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,none,2023-12-31,0.0,observed_input_imputation
AGO,2024,516357929.26,0.9802634759753186,0.01973652402468139,506166818.5838253,10191110.676174724,footprint_trend_nowcast,interpolated,2020-2025,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2024-08-31,0.6666666666666666,full_footprint_fixed_height
AGO,2025,517413851.34,0.9802251290622579,0.019774870937742123,507182059.2083514,10231792.131648589,footprint_trend_nowcast,projected,,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2025-08-31,1.6666666666666663,full_footprint_fixed_height
AGO,2026,518471932.72,0.9801981493328673,0.019801850667132727,508205228.9331789,10266703.786821127,footprint_trend_nowcast,interpolated,2025-2030,GHS-BUILT-V R2023A,ghs_built_v_volume_share,modeled_trend_not_observed;no_dynamic_world_input;forecast_accuracy_unvalidated,2026-08-31,2.6666666666666665,full_footprint_fixed_height
